"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"El servicio ha controlado PowerEvent correctamente.","0","0","0","4","0","0","36028797018963968","30223","HP Comm Recovery",,"Application","2140","0","bitodesktop",,"01/09/2025 11:19:22 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n","Informaci?n","Ninguna","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La migraci?n de nivel inferior sin conexi?n se realiz? correctamente.","16394","0","49152","4","0","0","36028797018963968","30222","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","8400","0","bitodesktop",,"01/09/2025 11:19:22 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software se program? correctamente para reiniciarse a las 2125-08-09T05:04:31Z. Motivo: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","30221","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","2756","0","bitodesktop",,"01/09/2025 11:04:31 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La migraci?n de nivel inferior sin conexi?n se realiz? correctamente.","16394","0","49152","4","0","0","36028797018963968","30220","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","2756","0","bitodesktop",,"01/09/2025 11:04:01 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software se program? correctamente para reiniciarse a las 2125-08-09T04:41:30Z. Motivo: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","30219","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","8956","0","bitodesktop",,"01/09/2025 10:41:30 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"La migraci?n de nivel inferior sin conexi?n se realiz? correctamente.","16394","0","49152","4","0","0","36028797018963968","30218","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","8956","0","bitodesktop",,"01/09/2025 10:41:00 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Se detuvo el servicio de protecci?n de software.
","903","0","16384","0","0","0","36028797018963968","30217","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","7232","0","bitodesktop",,"01/09/2025 10:36:09 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"El servicio de protecci?n de software se program? correctamente para reiniciarse a las 2125-08-09T04:36:09Z. Motivo: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","30216","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","7232","0","bitodesktop",,"01/09/2025 10:36:09 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","15","0","0","4","0","0","36028797018963968","30215","SecurityCenter",,"Application","8428","0","bitodesktop",,"01/09/2025 10:35:41 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n","Informaci?n","Ninguna","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Se inici? el servicio de Windows Search.
","1003","0","16384","4","1","0","36028797018963968","30214","Microsoft-Windows-Search","ca4e628d-8567-4896-ab6b-835b221f373f","Application","1520","0","bitodesktop",,"01/09/2025 10:35:40 p. m.",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informaci?n",,"Servicio de Search","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
