"ProcessId","ProcessName","Path","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"8992","AcrobatNotificationClient","C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe","","","","",""
"6744","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","127.0.0.1","19293","0.0.0.0","0","Listen"
"14812","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","","","","",""
"6636","AggregatorHost",,"","","","",""
"2976","amdfendrsr",,"","","","",""
"10952","AMDRSServ","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.22.20073.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSServ.exe","","","","",""
"4424","AMDRSSrcExt","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.22.20073.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSSrcExt.exe","","","","",""
"7560","AppActions","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe","","","","",""
"3368","AppHelperCap",,"","","","",""
"4252","ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","","","","",""
"8492","AppVShNotify","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","","","","",""
"1676","armsvc",,"","","","",""
"12980","atieclxx",,"","","","",""
"2984","atiesrxx",,"","","","",""
"6100","backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","","","","",""
"20032","backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe","::","60699","::","0","Bound"
"4880","BraveCrashHandler",,"","","","",""
"4904","BraveCrashHandler64",,"","","","",""
"11600","BridgeCommunication","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_2ce7f3bdc4152084\x64\BridgeCommunication.exe","","","","",""
"2548","Cloudflare WARP","C:\Program Files\Cloudflare\Cloudflare WARP\Cloudflare WARP.exe","","","","",""
"19876","cncmd","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.22.20073.0_x64__0a9344xs7nr4m\radeonsoftware\cncmd.exe","","","","",""
"4952","conhost","C:\WINDOWS\system32\conhost.exe","","","","",""
"3920","CrossDeviceResume","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe","","","","",""
"812","csrss",,"","","","",""
"17820","csrss",,"","","","",""
"14660","ctfmon",,"","","","",""
"5784","dasHost",,"","","","",""
"1836","DesktopExtension","C:\Program Files\WindowsApps\AD2F1837.myHP_48.52533.6679.0_x64__v10z8vjag6ke6\win32\DesktopExtension.exe","","","","",""
"3360","DiagsCap",,"","","","",""
"17856","dllhost","C:\WINDOWS\system32\DllHost.exe","","","","",""
"5104","dwm",,"","","","",""
"3400","ETDCtrl","C:\WINDOWS\system32\ETDCtrl.exe","","","","",""
"5180","ETDService",,"","","","",""
"12036","explorer","C:\WINDOWS\Explorer.EXE","","","","",""
"7752","ExpressVPN.AppService",,"::","62562","::","0","Bound"
"7752","ExpressVPN.AppService",,"::","49885","::","0","Bound"
"7752","ExpressVPN.AppService",,"::","49883","::","0","Bound"
"7752","ExpressVPN.AppService",,"::","49881","::","0","Bound"
"7752","ExpressVPN.AppService",,"::","49880","::","0","Bound"
